# Full title;default abbreviation;shortest/common abbreviation
Physical Review;Phys. Rev.
Physical Review Letters;Phys. Rev. Lett.;PRL
Physical Review A;Phys. Rev. A
Physical Review B;Phys. Rev. B
Physical Review C;Phys. Rev. C
Physical Review D;Phys. Rev. D
Physical Review E;Phys. Rev. E
Physical Review Applied;Phys. Rev. Appl.
Physical Review Fluids;Phys. Rev. Fluids
Physical Review Research;Phys. Rev. Res.
Physical Review X;Phys. Rev. X;PRX
PRX Quantum;PRX Quantum
Reviews of Modern Physics;Rev. Mod. Phys.;RMP
Nature;Nature
Nature Communications;Nat. Commun.
Nature Computational Science;Nat. Comput. Sci.
Nature Physics;Nat. Phys.
Nature Reviews Physics;Nat. Rev. Phys.
npj Quantum Information;npj Quantum Inf.
Science;Science
Proceedings of the National Academy of Sciences;Proc. Natl. Acad. Sci.;PNAS
Proceedings of the National Academy of Sciences of the United States of America;Proc. Natl. Acad. Sci. U.S.A.;PNAS
Proceedings of the National Academy of Sciences of the United States of America;Proc. Natl. Acad. Sci. USA;PNAS
Journal of Physics A: Mathematical and Theoretical;J. Phys. A Math. Theor.
Journal of Physics B: Atomic, Molecular and Optical Physics;J. Phys. B At. Mol. Opt. Phys.
Journal of Physics B: Atomic, Molecular and Optical Physics;J. Phys. B
Journal of Physics Communications;J. Phys. Commun.
New Journal of Physics;New J. Phys.
Quantum Science and Technology;Quantum Sci. Technol.
Quantum Information Processing;Quantum Inf. Process.
Advanced Quantum Technologies;Adv. Quantum Technol.
